,g3,d2,d3,d4,g4,d1,g2,g1
g3,0.02158273381294964,0.08637873754152824,0.42857142857142855,0,0.0,0.050546448087431695,0.014492753623188406,0.02423698384201077
d2,0.2589928057553957,0.04318936877076412,0.0,0,0.19047619047619047,0.040300546448087435,0.19082125603864733,0.09515260323159784
d3,0.007194244604316547,0.0,0.0,0,0.0,0.001366120218579235,0.00966183574879227,0.0
d4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
g4,0.0,0.026578073089700997,0.14285714285714285,0,0.0,0.01707650273224044,0.0,0.00718132854578097
d1,0.5539568345323741,0.21926910299003322,0.0,0,0.6666666666666666,0.37363387978142076,0.5024154589371981,0.48204667863554757
g2,0.050359712230215826,0.2159468438538206,0.2857142857142857,0,0.047619047619047616,0.15300546448087432,0.05555555555555555,0.08258527827648116
g1,0.1079136690647482,0.40863787375415284,0.14285714285714285,0,0.09523809523809523,0.3640710382513661,0.22705314009661837,0.3087971274685817
