,d1,d2,d3,d4,g1,g2,g3,g4
d1,0.3758020164986251,0.5,0.6145833333333334,0.625,0.3806646525679758,0.5106382978723404,0.46835443037974683,0.5
d2,0.07424381301558204,0.12215909090909091,0.17708333333333334,0.0625,0.06042296072507553,0.11605415860735009,0.21518987341772153,0.3333333333333333
d3,0.0009165902841429881,0.005681818181818182,0.0,0.0,0.0022658610271903325,0.0019342359767891683,0.0,0.0
d4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g1,0.3464711274060495,0.24431818181818182,0.13541666666666666,0.25,0.36178247734138974,0.26305609284332687,0.22784810126582278,0.0
g2,0.12832263978001834,0.08806818181818182,0.07291666666666667,0.0625,0.14501510574018128,0.07930367504835589,0.02531645569620253,0.16666666666666666
g3,0.05591200733272227,0.03125,0.0,0.0,0.03851963746223565,0.025145067698259187,0.0379746835443038,0.0
g4,0.01833180568285976,0.008522727272727272,0.0,0.0,0.011329305135951661,0.0038684719535783366,0.02531645569620253,0.0
