,g3,d2,d3,d4,g4,d1,g2,g1
g3,0.02531645569620253,0.031161473087818695,0.041237113402061855,0.125,0.0,0.024635036496350366,0.009633911368015413,0.020973782771535582
d2,0.1518987341772152,0.13031161473087818,0.12371134020618557,0.0625,0.16666666666666666,0.10675182481751824,0.08863198458574181,0.08838951310861423
d3,0.02531645569620253,0.05099150141643059,0.010309278350515464,0.0625,0.0,0.03102189781021898,0.030828516377649325,0.018726591760299626
d4,0.02531645569620253,0.0028328611898017,0.020618556701030927,0.0625,0.0,0.006386861313868613,0.0,0.0022471910112359553
g4,0.0,0.0,0.0,0.0,0.0,0.002737226277372263,0.0,0.0022471910112359553
d1,0.2911392405063291,0.2747875354107649,0.26804123711340205,0.1875,0.16666666666666666,0.28284671532846717,0.3583815028901734,0.33782771535580525
g2,0.08860759493670886,0.18413597733711048,0.2268041237113402,0.25,0.0,0.16423357664233576,0.13872832369942195,0.1258426966292135
g1,0.3924050632911392,0.32577903682719545,0.30927835051546393,0.25,0.6666666666666666,0.3813868613138686,0.3737957610789981,0.4037453183520599
