,State Combo,Num Instances,Avg Return %,Profitable %,Over B %,STD,Returns
0,g3.d1,27,1.88,100.0,74.07,0.009147848481470888,"[0.0440410901775139, 0.031496161620140795, 0.029911504358654195, 0.02126773267488935, 0.009025195072111636, 0.017224180937198463, 0.019832756948081398, 0.02023882206733263, 0.025630506061619984, 0.011557721108407026, 0.013491239536726374, 0.01405594268747623, 0.01960506886176927, 0.03839386900252317, 0.014347424427090028, 0.008325146016131546, 0.008950609437453183, 0.009913076453514913, 0.008500920949635171, 0.027359121263496267, 0.011294940878235904, 0.009787867636651848, 0.021706347974602025, 0.014857449247873689, 0.024240223597703947, 0.01433029618396775, 0.018512607359486122]"
1,g3.d2,7,1.76,100.0,71.43,0.01078454749005957,"[0.01718797355388002, 0.012599302935850432, 0.008131404037994283, 0.013344840439164729, 0.01450125191358409, 0.04330651479612291, 0.014315843702740638]"
2,g3.g2,14,1.64,100.0,78.57,0.012698138823693476,"[0.011349249333878042, 0.02013203636453098, 0.013631732816059117, 0.041149011804109126, 0.014018500894984465, 0.01699621137248908, 0.012249169347058553, 0.0075384705163994425, 0.0081788392812161, 0.013080817425835889, 0.00813921866229883, 0.005160585774219406, 0.008754794929518361, 0.05052481268297604]"
3,g3.g1,24,1.59,100.0,62.5,0.008536197307661017,"[0.014293401623609148, 0.016009094765019105, 0.04649930493567811, 0.022468043427187334, 0.024926614590988105, 0.010287763079499967, 0.02155799848285822, 0.011177351299850313, 0.024728583541208993, 0.011992862553628303, 0.019502995905117837, 0.01243390764418617, 0.013022672296240767, 0.010997702199306847, 0.008175984176772788, 0.009531432748538071, 0.01157786685101736, 0.008991668701691768, 0.00723663511976258, 0.00775027790217675, 0.009351809424066326, 0.014464267158607047, 0.024835319227287878, 0.019908007564317876]"
4,g2.g2,50,1.4,100.0,2.0,0.010464640043800677,"[0.006527899898076228, 0.01508852276917616, 0.010411000743093313, 0.0348349923850475, 0.018432316331404186, 0.004768985244298918, 0.01030935925260379, 0.010141096600730481, 0.010333794318752032, 0.010788675904515488, 0.006522320003527593, 0.006692840980538017, 0.014870792151159051, 0.013166017790303464, 0.014937571998786092, 0.011374932375578739, 0.0243774229703535, 0.009250442397505498, 0.009312656247590478, 0.01296214684135677, 0.011245469968844235, 0.008653201999842652, 0.0038942984499537037, 0.006542857165366733, 0.008327428668456482, 0.006519400983061141, 0.004549516564755329, 0.021408673435630687, 0.0230254074959777, 0.015831063579772486, 0.009554413140532736, 0.015552200676202554, 0.010367129636899897, 0.0053233691016953966, 0.0053296433504379515, 0.06716619544564684, 0.008940764355413133, 0.007546961064002877, 0.02217423357191306, 0.030453019533468684, 0.031793957840283715, 0.02430160824238592, 0.02293210272257107, 0.013078669396882736, 0.014094585764406364, 0.012139086607026783, 0.008045949931848373, 0.007430625792154588, 0.014454768860443945, 0.008622445740075424]"
5,g2.d2,44,1.31,100.0,2.27,0.013975937377825041,"[0.006347564978043341, 0.008149587293959426, 0.014774067888125408, 0.00568665662255996, 0.007516325301273774, 0.01069267214446179, 0.01323498502291387, 0.0057445499994879246, 0.007442898015759258, 0.006975606388078148, 0.00809382255466451, 0.010097398732128227, 0.005564729993931206, 0.007494419036609079, 0.008002583701409938, 0.00676729386632835, 0.0075767586558042055, 0.00904361259775377, 0.004484287960741851, 0.007220547161430613, 0.00533058602968306, 0.012460955192125978, 0.02061690748021161, 0.004924129024472368, 0.00581870155504749, 0.006341275284669656, 0.012946466735978879, 0.009044067938271949, 0.006170394639804622, 0.04203318902459818, 0.09060321472021005, 0.01773316430529359, 0.007851859500763503, 0.01084240691745686, 0.010194340976649396, 0.009648913515856616, 0.017759016625541912, 0.01612697683261155, 0.0220641805188182, 0.026810773867102622, 0.025173681033376027, 0.026401271088078992, 0.008728488811339696, 0.0056250713228847005]"
6,g2.d1,239,1.24,100.0,2.93,0.008317822959851251,"[0.007033286237364322, 0.006567440287600812, 0.00893095473696115, 0.012397372572280574, 0.012961848785113084, 0.03349808152398048, 0.02603927227274605, 0.022580486328077187, 0.009766087454089467, 0.00793037494477944, 0.012808697285348503, 0.005197515475393155, 0.003543495774470218, 0.007244600079576502, 0.015497594654197089, 0.00652835200000923, 0.008936102183183081, 0.012685856401544848, 0.013052782949916741, 0.014776046739850779, 0.016231329688866758, 0.04488382635347432, 0.02820751465182525, 0.02378033458980955, 0.033445404708821735, 0.01694253077278196, 0.01107333101112884, 0.005181662559470501, 0.009949251245465307, 0.014035009503154283, 0.016777706160687078, 0.006042717488323968, 0.009421163781181185, 0.0083285850370729, 0.010470982592392541, 0.01362497302659027, 0.009772229711566105, 0.01259855275377042, 0.008032566458124002, 0.014762911891777808, 0.005989077947313737, 0.00905310712501839, 0.01272045734629601, 0.015208784568067735, 0.00911590923376715, 0.008272955856969189, 0.009576191080621577, 0.007916824167642611, 0.008068319468661045, 0.006232338062310383, 0.010897613987939536, 0.01060093036987797, 0.013186771898111127, 0.008194449868791809, 0.006630696254739332, 0.010750542763510396, 0.01047757032544494, 0.008424226507867782, 0.004782581264660024, 0.004519571738571537, 0.005035307502497588, 0.010219390100297376, 0.011569009517769402, 0.00837930992034508, 0.0037630793249487926, 0.0078281773041593, 0.007945639669405757, 0.011009128867649487, 0.011810991990711894, 0.005773981255580818, 0.006463885690620508, 0.003862931115545809, 0.01238391595961863, 0.014461126807718605, 0.006313438484386591, 0.01271356240175825, 0.013360431075736923, 0.012199949360665485, 0.009136852067299639, 0.010841223557106261, 0.00949198973300347, 0.008015612129848915, 0.012591586048747327, 0.01103707280984767, 0.012283027862761475, 0.024734943270322773, 0.02513110777362937, 0.01779524702972224, 0.010961406340262103, 0.011831127277586173, 0.015206836112806377, 0.009535462013388063, 0.010497710975323926, 0.01238322120191615, 0.020515519286965267, 0.016878241294204566, 0.014479132361121527, 0.01613658602042367, 0.010921422648347612, 0.010101198730587013, 0.009865284199180868, 0.0064401156891884526, 0.01803603024386935, 0.017027876758984428, 0.004507762061513043, 0.003022505590803304, 0.007802740832538291, 0.007551622549681891, 0.00604052611470185, 0.007650149604242262, 0.005948970079209692, 0.008655756575380202, 0.0054427567738766225, 0.00886007776763642, 0.007952376108839143, 0.006485093587021984, 0.010457229821978498, 0.004338877255518847, 0.005452926796422952, 0.00715733679497399, 0.004214838687462086, 0.007295400990392942, 0.012777695100831599, 0.01590055146953495, 0.009666012851543782, 0.007518523177359571, 0.009818014895943472, 0.005717168717035204, 0.009004621364794962, 0.009066071269413722, 0.006380824364363935, 0.008091063530760056, 0.007895716538574238, 0.005914355603610533, 0.0054262573545134085, 0.013888282085915638, 0.01794061015587367, 0.014818373230118809, 0.033495802600416846, 0.007453978444465381, 0.011858834525344308, 0.004656734332121104, 0.009016010181531309, 0.00799526891708191, 0.006699712999120866, 0.014022845691012087, 0.019619862249314224, 0.014754802042121318, 0.005914478545458346, 0.008192595145666282, 0.013531861967833292, 0.009496124930401084, 0.006780669147960383, 0.006876869511700301, 0.008318421597277137, 0.010478899795388852, 0.01524113064781707, 0.05174474263857998, 0.08548614720565362, 0.05399197708978787, 0.01698746727497391, 0.012959033678161758, 0.012298880196343065, 0.013942409509031917, 0.010133456087298764, 0.006459355926164756, 0.009418224437415468, 0.019747263296586492, 0.016167324314214193, 0.016609022575444277, 0.017406645025624723, 0.0195028615065167, 0.01611360117510552, 0.010937530557662889, 0.008617752032702208, 0.013519388383224529, 0.0068872510981035084, 0.016645581160376732, 0.01414013120176194, 0.01136593969502453, 0.011019414162459551, 0.018396587836770673, 0.014277346854821404, 0.016114954928196035, 0.01079899240856319, 0.014352939364788542, 0.010742598537645698, 0.009462096374001083, 0.007277997293771543, 0.012012465680434348, 0.015355366647008317, 0.010758026105726515, 0.009145987946133971, 0.005915709428369054, 0.01067488077644696, 0.008096465521583385, 0.008135358881916188, 0.007956966389900177, 0.008796501102234622, 0.012150002741963872, 0.011884173719395319, 0.01040491238172181, 0.016820487041466547, 0.012266472671641493, 0.015316280551680883, 0.011843495944023452, 0.02068481419084578, 0.018011041741853306, 0.018396386812880472, 0.011453655846794808, 0.02525950463949167, 0.02390780167885964, 0.019105265812861427, 0.012542376262560051, 0.017964905141769183, 0.015535295689759643, 0.025697066935779223, 0.01441725299878338, 0.01800024100121611, 0.011998525276320837, 0.010990330799516057, 0.011739054936566129, 0.016529982727720993, 0.01754514699454579, 0.013130479312544185, 0.013282737327614091, 0.008535183628432641, 0.009501058344524083, 0.009071921268275496, 0.010963343838044759, 0.007936917209663275, 0.009790347032733626, 0.006506331662440301, 0.010521436950236218, 0.011955841236706899, 0.019164411365485412, 0.0076304106828715135, 0.0060808846108111325, 0.00948191677446153]"
7,g2.g1,160,1.23,100.0,1.88,0.006160817647594712,"[0.007966432596374196, 0.005927027186000355, 0.006837419995276539, 0.029231460131348364, 0.022737536184223694, 0.022321720983356608, 0.012284906472423973, 0.01548962474436566, 0.015290086870334507, 0.020622009344680947, 0.014718235248454503, 0.008536291593247203, 0.013703973749164877, 0.010375458261042692, 0.032910323732361135, 0.02192307803066318, 0.01898732081184651, 0.0182271099430813, 0.030260290227827946, 0.011056066947827015, 0.00875689033013849, 0.013065887810325583, 0.01481186162216419, 0.013691367761280215, 0.012111953503249229, 0.016497631429762905, 0.007168019119033087, 0.01013281974470659, 0.007825405225636795, 0.011751921101495366, 0.011129199049120242, 0.008958838702666228, 0.00538680043406381, 0.009676940781704557, 0.013620590773878227, 0.007397260968319275, 0.013965842642884141, 0.008024464374378093, 0.012395949305751941, 0.010944071253006227, 0.007138060590409445, 0.00973613400555351, 0.0061462951350022, 0.00733972432988339, 0.004917894563588376, 0.0044950778083672205, 0.017489340660366004, 0.01981071310608229, 0.017745298920603947, 0.013113999023667056, 0.010653441205574321, 0.009616728627660054, 0.008826933522643632, 0.01042757352572421, 0.010399434942135244, 0.018658009983883783, 0.01535470423000862, 0.015866070351824524, 0.014631747838692588, 0.016416610344601734, 0.013643191620507977, 0.01633480475721516, 0.023507093173869675, 0.006811960712689524, 0.007026578717290732, 0.013645355714821061, 0.01489076784012422, 0.00464072640902824, 0.009992876449306465, 0.006673768693002513, 0.006411714142338543, 0.006892975455404127, 0.005932578287464185, 0.003946147240535103, 0.003995295705380375, 0.005220267405399159, 0.005955056204437037, 0.007276892850540229, 0.005523676112116238, 0.0065043066095678, 0.007514848993713574, 0.005414205748143219, 0.010666021778387602, 0.00592505262593801, 0.0026383203323820936, 0.0033385767966807034, 0.006325242154997968, 0.006664177378608249, 0.01970207989199091, 0.009350494321742842, 0.008360606028027018, 0.00815807054464912, 0.008457996235840426, 0.008522252693917265, 0.005447491398462567, 0.006018276453664706, 0.005381010661962726, 0.021865720051195803, 0.013241627314602322, 0.012859589406729599, 0.010897092356689564, 0.0062440400473171564, 0.0066188325887843735, 0.006765641664080446, 0.00926125758518892, 0.009078318483685344, 0.0071501569300846946, 0.004699357784691216, 0.009899971782470596, 0.009264176150164838, 0.004457480335593678, 0.00913428074094158, 0.006869851573824581, 0.011547760610286506, 0.02617858532897399, 0.030459505283587873, 0.01330816642585897, 0.019247542588727518, 0.010025609472924968, 0.016087651972651607, 0.017656085577624214, 0.022349123678194527, 0.008590828938648487, 0.013838784388426228, 0.007985491910141418, 0.0076435148165219235, 0.010287868449910809, 0.008352656954844662, 0.00975475194607589, 0.006105378345969026, 0.01562508097080406, 0.014152156150594175, 0.014636295734540505, 0.021990344446539245, 0.01614273388141685, 0.024549260638378145, 0.027019167790682364, 0.014578706699478694, 0.01565953532143438, 0.016928905413234663, 0.014117616840028102, 0.01967622580170758, 0.0309865654843815, 0.023790628252031487, 0.01495255458199396, 0.012647897975373468, 0.01862902024258184, 0.014703387018761171, 0.010627791845644108, 0.014556885605691239, 0.016037887641408455, 0.014534842217583277, 0.009633106352538556, 0.008659965548432291, 0.012950584354273875, 0.014461088964053292, 0.012397687240997213, 0.01113778577144231, 0.010664743488575379, 0.015604791525528183]"
