,Open,High,Low,Close,Adj Close,Volume,daily_return,volume_change,STD_L=20,SMA_20,EMA_20,RSI_20,MACD,Stochastic_Oscillator_6_20,Bollinger_Upper_Band,Bollinger_Lower_Band,CMF_20,CCI_20,volume_oscillator,force_index,on_balance_volume,aroon_oscillator,volume_price_trend,ultimate_oscillator,state_nominal
EMA_20,0.020724126540365522,0.021691214697252992,0.025904017621472215,0.02712631731532271,0.025666612456426718,-0.18978426045329302,0.36797480208941824,-0.12079272574495606,0.10482675913150943,0.2900684411148609,0.5380514480606718,0.38138421826401075,,0.7518276044896368,-0.0010491454482182653,-0.009274919445993575,0.1269953268348917,0.6008724229326867,,0.2876304436523636,0.03442470271458945,,-0.007548825204453678,,1.0
RSI_20,0.006126097260754854,0.006100196560022941,0.006024050719186301,0.005990955259124428,0.005026080195114847,0.005741269423861294,-0.002112351918082977,0.007100780945806481,-0.02415532621020741,0.005575130420840113,-0.013545199247749776,-0.0027384827095895577,,-0.02560716011411133,0.005735233315889316,0.006908078168741799,0.015050133762120065,-0.021623900429020754,,-0.003545658683093687,0.027612658553329904,,0.004351869773415982,,1.0000000000000002
MACD,-0.017988267907265907,-0.014029279058575851,-0.014085168396533166,-0.008951085813396613,-0.009228524642186783,-0.03508297114537611,0.5398120989214458,-0.20263019060457477,-0.006274056808281372,-0.0034114675004098473,0.06831829989607655,0.6278344950519337,,0.3271638983242522,-0.010260422064957028,-0.008328555892480369,0.011448207308357296,0.020592156237660895,,-0.03641554908190207,0.0031547576304586556,,0.007633793116295964,,1.0
Stochastic_Oscillator_6_20,0.01573112360558656,0.015596102725228754,0.016695018777634293,0.017368182724950904,0.0167087021395564,-0.050963339505633976,0.10047004371065285,-0.06252937605020745,-0.011342197748526437,0.05249479710654378,0.0825338645742713,0.11060919872505036,,0.10475419376044152,0.013738936932450756,0.01405437052963888,0.05793775936703862,0.07545495663606706,,0.0341868982417187,0.0338208593952346,,-0.0039298089539645436,,1.0
CMF_20,-0.02529729609167708,-0.027309591736994623,-0.021062648755801106,-0.02249581678239718,-0.027508446835865265,-0.20495557533291933,0.10300151140609826,-0.01025125960857639,-0.2822149482964951,0.5090185587748738,0.4332309889334498,0.045131633818055475,,0.2828481978536587,-0.05721026863256724,-0.03888734911288617,0.7669490525839527,0.46813819326874,,0.315625352089916,0.055725723020252096,,0.09578613345831229,,1.0
volume_oscillator,0.015781513125415474,0.017380346974818665,0.013481561108942549,0.015021342944577843,0.015672340497157128,0.18403799230864354,-0.022786356836588494,-0.013021832494358855,0.02187244121215692,-0.4035087397824856,-0.3353695181611265,0.01679391216793164,,-0.15053766518060008,0.04034607694863747,0.037515047456795424,-0.27434978071391475,-0.3598094847271849,,-0.34654191390956923,0.0047489150382520025,,-0.006781454652687261,,1.0000000000000002
force_index,0.020889356056945863,0.018711233292345062,0.025695107350232123,0.023709848312243997,0.02095693499433367,-0.27343287220802515,0.14710656758974794,-0.048913227502509066,-0.2054334585079809,0.5702850761097695,0.6004148845203322,0.09599700580824258,,0.4061282520533468,-0.01680461392975699,-0.010847065690680623,0.4603624626432966,0.6985260666209748,,0.5276513910729256,0.06061321444629033,,0.029608320778717813,,1.0
on_balance_volume,0.46814857925388653,0.46732446409943246,0.4691988477233541,0.4683485960516129,0.4530759077849569,-0.5126142380425593,0.013705796001217772,0.005840785186657369,-0.2016371959185604,0.07385049708924536,0.07275573391568049,-0.0013706665901412562,,0.0696202797170778,0.46153288661967773,0.47139420547725885,0.09408668220497624,0.08244190210201288,,0.03197702772370204,0.7233203292028748,,-0.38456754649204045,,1.0
aroon_oscillator,0.01770992823990559,0.014090657402175135,0.021680736725007428,0.018089029355736128,0.010912715801073208,-0.28819763265653087,0.0313143776174896,0.020597317928083916,-0.40092722297860406,0.6399971093161079,0.4990904276208163,-0.04190681682554896,,0.17753409297952566,-0.022509341612422577,0.0011190452412391026,0.5978303868281217,0.5195048370950263,,0.4116085844088476,0.1357255706762249,,0.07496687087830707,,1.0
volume_price_trend,,,,,,,,,,,,,,,,,,,,,,,,,
